X,Y,Y'
0.1,0,0
0.2,0,0.1
0.3,0.01,0.198
0.4,0.0298,0.29004
0.5,0.058804,0.372319
0.6,0.0960359,0.441351
0.7,0.140171,0.49411
0.8,0.189582,0.528159
0.9,0.242398,0.541763
1,0.296574,0.533969
1.1,0.349971,0.50466
1.2,0.400437,0.454578
1.3,0.445895,0.385312
1.4,0.484426,0.299247
1.5,0.514351,0.199492
1.6,0.5343,0.0897619
1.7,0.543276,-0.0257534
1.8,0.540701,-0.142549
1.9,0.526446,-0.255978
2,0.500848,-0.361437
2.1,0.464704,-0.454548
2.2,0.41925,-0.531338
2.3,0.366116,-0.588412
2.4,0.307275,-0.62309
2.5,0.244966,-0.633538
2.6,0.181612,-0.618853
2.7,0.119727,-0.579121
2.8,0.0618146,-0.515429
2.9,0.0102716,-0.429847
3,-0.032713,-0.325358
3.1,-0.0652488,-0.205766
3.2,-0.0858254,-0.075551
3.3,-0.0933805,0.0602902
3.4,-0.0873515,0.196437
3.5,-0.0677079,0.327448
3.6,-0.034963,0.447983
3.7,0.00983525,0.553008
3.8,0.0651361,0.638014
3.9,0.128937,0.699199
4,0.198857,0.73364
4.1,0.272221,0.739424
4.2,0.346164,0.715747
4.3,0.417739,0.662967
4.4,0.484035,0.582612
4.5,0.542296,0.477346
4.6,0.590031,0.35088
4.7,0.625119,0.20785
4.8,0.645904,0.0536456
4.9,0.651269,-0.105789
5,0.64069,-0.264181
5.1,0.614272,-0.415173
5.2,0.572754,-0.552578
5.3,0.517497,-0.670628
5.4,0.450434,-0.764214
5.5,0.374012,-0.829104
5.6,0.291102,-0.862127
5.7,0.204889,-0.861325
5.8,0.118757,-0.826054
5.9,0.0361514,-0.757036
6,-0.0395522,-0.656356
6.1,-0.105188,-0.527408
6.2,-0.157928,-0.374784
6.3,-0.195407,-0.204117
6.4,-0.215819,-0.0218722
6.5,-0.218006,0.164893
6.6,-0.201517,0.348797
6.7,-0.166637,0.522428
6.8,-0.114394,0.678634
6.9,-0.0465306,0.810819
7,0.0345513,0.913215
7.1,0.125873,0.98113
7.2,0.223986,1.01116
7.3,0.325102,1.00134
7.4,0.425236,0.951273
7.5,0.520363,0.862154
7.6,0.606578,0.736765
7.7,0.680255,0.579399
7.8,0.738195,0.395709
7.9,0.777766,0.192517
8,0.797017,-0.0224399
8.1,0.794773,-0.240798
8.2,0.770694,-0.453891
8.3,0.725304,-0.653091
8.4,0.659995,-0.830151
8.5,0.57698,-0.977546
8.6,0.479226,-1.08879
8.7,0.370347,-1.1587
8.8,0.254477,-1.18367
8.9,0.13611,-1.16178
9,0.0199317,-1.09299
9.1,-0.0893676,-0.979105
9.2,-0.187278,-0.823776
9.3,-0.269656,-0.632389
9.4,-0.332895,-0.411879
9.5,-0.374082,-0.170484
9.6,-0.391131,0.0825589
9.7,-0.382875,0.33736
9.8,-0.349139,0.583763
9.9,-0.290763,0.811743
10,-0.209588,1.01181
10.1,-0.108407,1.17541
10.2,0.00913425,1.29527
10.3,0.138661,1.36571
10.4,0.275232,1.38293
10.5,0.413525,1.34518
10.6,0.548043,1.25286
10.7,0.673329,1.10859
10.8,0.784188,0.917087
10.9,0.875897,0.68507
11,0.944404,0.42101
11.1,0.986505,0.134828
11.2,0.999988,-0.16247
11.3,0.983741,-0.459216
11.4,0.937819,-0.743528
11.5,0.863466,-1.00378
11.6,0.763088,-1.2291
11.7,0.640178,-1.40975
11.8,0.499203,-1.53762
11.9,0.345441,-1.60655
12,0.184785,-1.6126
12.1,0.0235255,-1.55426
12.2,-0.131901,-1.43259
12.3,-0.275159,-1.25117
12.4,-0.400277,-1.01609
12.5,-0.501885,-0.735655
12.6,-0.575451,-0.420187
12.7,-0.61747,-0.0816033
12.8,-0.62563,0.267017
12.9,-0.598928,0.611928
13,-0.537735,0.939261
13.1,-0.443809,1.23557
13.2,-0.320252,1.48838
13.3,-0.171414,1.68672
13.4,-0.00274258,1.82155
13.5,0.179412,1.88621
13.6,0.368033,1.87672
13.7,0.555706,1.79198
13.8,0.734903,1.63385
13.9,0.898289,1.40722
14,1.03901,1.11976
14.1,1.15099,0.781757
14.2,1.22916,0.405727
14.3,1.26973,0.00594793
14.4,1.27033,-0.402065
14.5,1.23012,-0.802155
14.6,1.14991,-1.17816
14.7,1.03209,-1.51456
14.8,0.880635,-1.79711
14.9,0.700924,-2.01342
15,0.499583,-2.15352
15.1,0.284231,-2.21028
15.2,0.0632025,-2.17977
15.3,-0.154774,-2.06145
15.4,-0.36092,-1.85832
15.5,-0.546751,-1.57678
15.6,-0.704429,-1.22654
15.7,-0.827084,-0.820242
15.8,-0.909108,-0.373004
15.9,-0.946408,0.0980995
16,-0.936599,0.574701
16.1,-0.879128,1.03785
16.2,-0.775344,1.46874
16.3,-0.62847,1.8495
16.4,-0.443519,2.1639
16.5,-0.227129,2.39803
16.6,0.0126738,2.54092
16.7,0.266766,2.58503
16.8,0.525269,2.52663
16.9,0.777932,2.36599
17,1.01453,2.10749
17.1,1.22528,1.75953
17.2,1.40123,1.33423
17.3,1.53466,0.847051
17.4,1.61936,0.316248
17.5,1.65099,-0.237822
17.6,1.6272,-0.79346
17.7,1.54786,-1.32847
17.8,1.41501,-1.82105
17.9,1.23291,-2.25063
18,1.00784,-2.59878
18.1,0.747965,-2.84994
18.2,0.462971,-2.99213
18.3,0.163758,-3.01747
18.4,-0.137989,-2.92263
18.5,-0.430252,-2.70898
18.6,-0.70115,-2.3827
18.7,-0.93942,-1.95459
18.8,-1.13488,-1.43973
18.9,-1.27885,-0.85698
19,-1.36455,-0.2283
19.1,-1.38738,0.422085
19.2,-1.34517,1.0686
19.3,-1.23831,1.68529
19.4,-1.06978,2.24691
19.5,-0.845091,2.72988
19.6,-0.572102,3.11332
19.7,-0.26077,3.3799
19.8,0.0772198,3.51661
19.9,0.428881,3.51539
20,0.780419,3.37353
20.1,1.11777,3.09389
20.2,1.42716,2.6849
20.3,1.69565,2.16034
20.4,1.91169,1.53887
20.5,2.06557,0.843421
20.6,2.14991,0.100324
20.7,2.15995,-0.661649
20.8,2.09378,-1.41239
20.9,1.95254,-2.12166
21,1.74038,-2.76024
21.1,1.46435,-3.30119
21.2,1.13423,-3.72091
21.3,0.762143,-4.00018
21.4,0.362125,-4.12504
21.5,-0.0503788,-4.08738
21.6,-0.459117,-3.88549
21.7,-0.847666,-3.52413
21.8,-1.20008,-3.01458
21.9,-1.50154,-2.37426
22,-1.73896,-1.62616
22.1,-1.90158,-0.798049
22.2,-1.98138,0.0785432
22.3,-1.97353,0.969526
22.4,-1.87658,1.83955
22.5,-1.69262,2.65339
22.6,-1.42728,3.37737
22.7,-1.08955,3.98073
22.8,-0.691473,4.43694
22.9,-0.247779,4.72479
23,0.224699,4.8294
23.1,0.70764,4.74294
23.2,1.18193,4.46502
23.3,1.62844,4.00295
23.4,2.02873,3.37151
23.5,2.36588,2.59259
23.6,2.62514,1.69439
23.7,2.79458,0.710443
23.8,2.86562,-0.321597
23.9,2.83346,-1.36141
24,2.69732,-2.36757
24.1,2.46057,-3.29915
24.2,2.13065,-4.11739
24.3,1.71891,-4.7873
24.4,1.24018,-5.27912
24.5,0.712268,-5.56961
24.6,0.155307,-5.64313
24.7,-0.409006,-5.49239
24.8,-0.958245,-5.11894
24.9,-1.47014,-4.53326
25,-1.92346,-3.75454
25.1,-2.29892,-2.81006
25.2,-2.57993,-1.7343
25.3,-2.75335,-0.567639
25.4,-2.81012,0.645055
25.5,-2.74561,1.8562
25.6,-2.55999,3.01732
25.7,-2.25826,4.08097
25.8,-1.85016,5.00266
25.9,-1.3499,5.74267
26,-0.77563,6.26778
26.1,-0.148853,6.55267
26.2,0.506415,6.58116
26.3,1.16453,6.34697
26.4,1.79923,5.85422
26.5,2.38465,5.11744
26.6,2.89639,4.16124
26.7,3.31252,3.01945
26.8,3.61446,1.73406
26.9,3.78787,0.353591
27,3.82323,-1.06863
27.1,3.71636,-2.47655
27.2,3.46871,-3.81356
27.3,3.08735,-5.02477
27.4,2.58488,-6.05922
27.5,1.97895,-6.87199
27.6,1.29176,-7.42613
27.7,0.549143,-7.69431
27.8,-0.220288,-7.66008
27.9,-0.986296,-7.31876
28,-1.71817,-6.67787
28.1,-2.38596,-5.75704
28.2,-2.96166,-4.58752
28.3,-3.42042,-3.2111
28.4,-3.74153,-1.67871
28.5,-3.9094,-0.0485295
28.6,-3.91425,1.6162
28.7,-3.75263,3.24958
28.8,-3.42767,4.78564
28.9,-2.94911,6.16099
29,-2.33301,7.31742
29.1,-1.60127,8.20427
29.2,-0.780841,8.78069
29.3,0.0972286,9.01742
29.4,0.99897,8.89818
29.5,1.88879,8.42062
29.6,2.73085,7.5967
29.7,3.49052,6.45242
29.8,4.13576,5.02717
29.9,4.63848,3.37232
30,4.97571,1.54948
30.1,5.13066,-0.371794
30.2,5.09348,-2.31662
30.3,4.86182,-4.20768
30.4,4.44105,-5.96825
30.5,3.84422,-7.52531
30.6,3.09169,-8.81249
30.7,2.21044,-9.77292
30.8,1.23315,-10.3616
30.9,0.196988,-10.5477
31,-0.857779,-10.3155
31.1,-1.88933,-9.66609
31.2,-2.85594,-8.61703
31.3,-3.71764,-7.20232
31.4,-4.43787,-5.47121
